userName,score,at,content
Pengguna Google,1,08-09-2024 03:05,"Shopee aneh paket mu sampai tujuan tpi info kurirnya kga muncul jdi kan sudah buat ngehubungi kurir, Klu udh di pic-up Bru dah info kurirnya muncul dan bingung kadang di keterangan notifikasi bilangnya paket udh sampai tujuan tpi di tungguin kga ada.. kga Kya apk BIRU sblah kterangan dan info valid pls kurir"
Pengguna Google,1,08-09-2024 03:02,Ngebug
Pengguna Google,5,08-09-2024 03:01,Buka blokiran Spinjam dan paylater ku dong
Pengguna Google,5,08-09-2024 03:01,Berbelanja di shopie paling memuaskan harga dan pelayanan jg sangat cepat
Pengguna Google,1,08-09-2024 02:59,"Ni Shopee kebiasaan banget paket uda nyampe di lokasi sortir tp kagak di antar"" Shopee express emang taekkk"
Pengguna Google,3,08-09-2024 02:57,bagus
Pengguna Google,5,08-09-2024 02:57,Sangat membatu semua ada di shope
Pengguna Google,5,08-09-2024 02:55,shoope mantap
Pengguna Google,4,08-09-2024 02:55,"Kenapa apk sering log out sendiri... Trus sekarang berkedip terus kenapa minn😭😭, udah d bersihkan chace,udah update ,udah di instal ulang tapi masih berkedip🥲 gabisa d buka"
Pengguna Google,3,08-09-2024 02:52,"Min kenapa Shopee d HP saya kok suka tiba"" Keluar ya"
Pengguna Google,5,08-09-2024 02:52,Sangat bagus & membantu
Pengguna Google,5,08-09-2024 02:51,Ok memuaskan
Pengguna Google,5,08-09-2024 02:49,bagus
Pengguna Google,5,08-09-2024 02:49,Tempat belanja andalan
Pengguna Google,5,08-09-2024 02:49,👍
Pengguna Google,5,08-09-2024 02:48,"Belanja bsa plih²,,sesuai isi kantong dompet 😁👌🏼"
Pengguna Google,5,08-09-2024 02:48,Baik
Pengguna Google,5,08-09-2024 02:47,Sejauh ini mantap 👍
Pengguna Google,5,08-09-2024 02:47,Terima kasih selalu kasih diskon ongkir 😄pertahankan ya Pee Shopee biar aq juga bertahan di kamu😄oke Shopee ... Siip
Pengguna Google,2,08-09-2024 02:47,"saran shopee pengiriman nya di perbaiki lagi sering banget pengiriman telat bahkan lewat estimasi jauh banget,terus tolong kalau nomor kurir expedisi spx tuh di tampilkan kaya expedisi j&t,biar kalau ada apa² gampang ngehubungi kurir"
Pengguna Google,1,08-09-2024 02:46,Malinggggg....paket Internet gue....
Pengguna Google,1,08-09-2024 02:46,"Lelet bgt sekarang pengiriman ny,, pesan dr tgl 31, tgl 8 blom smpai jg itu barang,,, ngapain aja klian?? Sudh komplent ke aplkasi, gak da solusi ny...Trus pesanan sya dr tgl 6 gk ada update ny smpe tgl 8,, sudah terlalu kecewA.."
Pengguna Google,5,08-09-2024 02:46,Aplikasi belanja online terbaik Maju terus Shopee .. ⭐⭐⭐⭐⭐
Pengguna Google,1,08-09-2024 02:46,"Tak ada peraturan untuk menekan penjual2 nakal, mereka bebas untuk terus eksis di shopee.. harusnya setiap seller yang sengaja tidak merespon saat mereka aktif dapat hukuman dari shopee, bila perlu tutup tokonya"
Pengguna Google,5,08-09-2024 02:45,bagus
Pengguna Google,1,08-09-2024 02:44,"Semenjak update terbaru pengiriman semakin lama, semakin jelek kualitas belanja di aplikasi shopee ini, mana ongkir ke Kalimantan tidak bsa di pke voucher gratis ongkir selalu ad batas dan ketentuan, bru bsa dipakai. Banyak tingkah shopee sekarang."
Pengguna Google,1,08-09-2024 02:44,"Shopee tolong di perhatikan untuk kami warga kalimantan kembalikan pengiriman lewat JNT EXPRESS/ DLL jangan automatis ke SHOPEE EXPRESS karena kami yg tinggal di Kecamtan/Desa pihak SHOPEE EXPRESS sering mengabaikan paket kami,kurir tidak mau mengantarkan paker,Paket sering hilang. Tolong sekali pihak shopee kembalikan JNT EXPRESS!!!!"
Pengguna Google,5,08-09-2024 02:43,"shoope sekarang lebih memikat,,mantap lanjutkan dan pertahankan prestasi anda"
Pengguna Google,2,08-09-2024 02:43,Kenapa aplikasi shopee di hp saya sekarang berandanya gak bisa di buka
Pengguna Google,5,08-09-2024 02:41,Banyak promo gratis ongkir COD
